filepath,species,genus,family,split,ivc_score,ivc_category
data\fauna_seleccionada_bosque_atlantico\images\Corvidae\Cyanocorax\Cyanocorax_chrysops\335833999_610172426.jpg,Cyanocorax chrysops,Cyanocorax,Corvidae,query,1,Bajo
data\fauna_seleccionada_bosque_atlantico\images\Corvidae\Cyanocorax\Cyanocorax_chrysops\336163922_610821433.jpg,Cyanocorax chrysops,Cyanocorax,Corvidae,gallery,1,Bajo
data\fauna_seleccionada_bosque_atlantico\images\Corvidae\Cyanocorax\Cyanocorax_chrysops\336288232_611075340.jpg,Cyanocorax chrysops,Cyanocorax,Corvidae,query,1,Bajo
data\fauna_seleccionada_bosque_atlantico\images\Corvidae\Cyanocorax\Cyanocorax_chrysops\336304939_611110278.jpg,Cyanocorax chrysops,Cyanocorax,Corvidae,query,1,Bajo
data\fauna_seleccionada_bosque_atlantico\images\Corvidae\Cyanocorax\Cyanocorax_chrysops\336353500_611208150.jpg,Cyanocorax chrysops,Cyanocorax,Corvidae,query,1,Bajo
data\fauna_seleccionada_bosque_atlantico\images\Corvidae\Cyanocorax\Cyanocorax_chrysops\336511504_611524375.jpg,Cyanocorax chrysops,Cyanocorax,Corvidae,query,1,Bajo
data\fauna_seleccionada_bosque_atlantico\images\Corvidae\Cyanocorax\Cyanocorax_chrysops\336519973_611541231.jpg,Cyanocorax chrysops,Cyanocorax,Corvidae,query,1,Bajo
data\fauna_seleccionada_bosque_atlantico\images\Corvidae\Cyanocorax\Cyanocorax_chrysops\336558230_611622328.jpg,Cyanocorax chrysops,Cyanocorax,Corvidae,query,1,Bajo
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\104189714_174558113.jpg,Crax fasciolata,Crax,Cracidae,query,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\104679029_175451710.jpg,Crax fasciolata,Crax,Cracidae,gallery,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\106746122_179387607.jpg,Crax fasciolata,Crax,Cracidae,query,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\106746123_179387611.jpg,Crax fasciolata,Crax,Cracidae,query,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\112507246_190036023.jpg,Crax fasciolata,Crax,Cracidae,query,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\140546405_240595660.jpg,Crax fasciolata,Crax,Cracidae,query,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\172432229_299338538.jpg,Crax fasciolata,Crax,Cracidae,query,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\193651253_340200812.jpg,Crax fasciolata,Crax,Cracidae,gallery,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\205151925_362701510.jpg,Crax fasciolata,Crax,Cracidae,query,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\245148572_437404796.jpg,Crax fasciolata,Crax,Cracidae,query,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\275598844_495178800.jpg,Crax fasciolata,Crax,Cracidae,query,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\287176440_516341332.jpg,Crax fasciolata,Crax,Cracidae,query,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\292209374_525824403.jpg,Crax fasciolata,Crax,Cracidae,gallery,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\309212716_557959252.jpg,Crax fasciolata,Crax,Cracidae,query,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\317302292_573346607.jpg,Crax fasciolata,Crax,Cracidae,gallery,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\323085806_584572044.jpg,Crax fasciolata,Crax,Cracidae,query,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\326391911_591123729.jpg,Crax fasciolata,Crax,Cracidae,query,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\328449039_595172948.jpg,Crax fasciolata,Crax,Cracidae,query,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\38903299_61833991.jpg,Crax fasciolata,Crax,Cracidae,query,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\38903360_61837614.jpg,Crax fasciolata,Crax,Cracidae,query,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Crax\Crax_fasciolata\67681141_109412283.jpg,Crax fasciolata,Crax,Cracidae,query,4,Alto
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\104298452_174730480.jpg,Penelope superciliaris,Penelope,Cracidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\104730345_175552492.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\105184734_176412942.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\106406731_178736666.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\106745550_179386240.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\108438929_182574294.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\111949335_189047820.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\126885709_215340461.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\135472796_231063625.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\138663554_237045360.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\139805892_239193279.jpg,Penelope superciliaris,Penelope,Cracidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\142179003_243717358.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\146207965_251318076.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\149773694_258133282.jpg,Penelope superciliaris,Penelope,Cracidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\151050085_260564639.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\162375218_280745924.jpg,Penelope superciliaris,Penelope,Cracidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\164094814_283884842.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\165449032_286397007.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\168939416_292841773.jpg,Penelope superciliaris,Penelope,Cracidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\175838827_305628540.jpg,Penelope superciliaris,Penelope,Cracidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\18016286_27543187.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\180186916_313822610.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\180863430_315049907.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\185020739_323054972.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\191953011_336867451.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\195395691_343737942.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\196277487_345507578.jpg,Penelope superciliaris,Penelope,Cracidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\205499431_363370682.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\206979783_366060847.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\220804554_390970419.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\222767956_394644641.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\223102399_395269766.jpg,Penelope superciliaris,Penelope,Cracidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\225848663_406590753.jpg,Penelope superciliaris,Penelope,Cracidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\227503228_403433845.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\229020624_406483839.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\241137641_429715970.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\254320833_455510085.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\255344952_457581741.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\259367334_465574979.jpg,Penelope superciliaris,Penelope,Cracidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\259896469_466623041.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\266433903_478703942.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\278527688_500116121.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\280620430_504020094.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\283124046_508711683.jpg,Penelope superciliaris,Penelope,Cracidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\283825088_510021685.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\294059910_529257065.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\294226529_529562821.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\302844794_546291580.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\305732399_551277827.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\307783521_555200416.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\308253416_556102988.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\313931065_566964054.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\314096480_567282634.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\315597_391946.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\315641146_570216189.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\317524011_573774236.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\318930545_576461585.jpg,Penelope superciliaris,Penelope,Cracidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\321154431_580769734.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\32561603_51082476.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\326345480_591030856.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\326540078_591419992.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\329102338_596490422.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\35275924_55607270.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\38282984_60819529.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\40152930_63778765.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\5410846_6650495.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\54458306_86652709.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\87439100_144163357.jpg,Penelope superciliaris,Penelope,Cracidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\90199034_149043101.jpg,Penelope superciliaris,Penelope,Cracidae,query,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Penelope\Penelope_superciliaris\97363700_161913550.jpg,Penelope superciliaris,Penelope,Cracidae,gallery,3,Medio
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\142221494_243793787.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\142221510_243794582.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\144286204_247610816.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\146271885_251437741.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\146271887_251437911.jpg,Pipile jacutinga,Pipile,Cracidae,gallery,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\146271888_251437963.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\146271899_251438818.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\146416283_251717856.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\149598353_257808399.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\151235078_260911268.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\151597690_261593527.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\152282288_262861124.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\166345465_288054084.jpg,Pipile jacutinga,Pipile,Cracidae,gallery,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\169075817_293091111.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\173111824_300593435.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\174014509_302262089.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\177913189_309494301.jpg,Pipile jacutinga,Pipile,Cracidae,gallery,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\178589363_310788097.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\185532739_324043812.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\188340055_329577000.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\189067233_331093948.jpg,Pipile jacutinga,Pipile,Cracidae,gallery,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\192373031_337689004.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\192971323_338883359.jpg,Pipile jacutinga,Pipile,Cracidae,gallery,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\193342731_339625889.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\196277490_345507594.jpg,Pipile jacutinga,Pipile,Cracidae,gallery,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\196277492_345507641.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\196277493_345507640.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\198152965_349182902.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\202269587_357203302.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\202824763_358262158.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\213273573_376904253.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\222039313_393274575.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\225913732_400591655.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\239672411_426893916.jpg,Pipile jacutinga,Pipile,Cracidae,gallery,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\241134808_429710224.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\241135439_429712660.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\241135593_429713941.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\241137587_429715971.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\241141747_429723955.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\241391184_430208268.jpg,Pipile jacutinga,Pipile,Cracidae,gallery,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\244879618_436886698.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\247892445_442830339.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\248242755_443517065.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\251683913_450383684.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\251702218_450417247.jpg,Pipile jacutinga,Pipile,Cracidae,gallery,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\255260347_457408818.jpg,Pipile jacutinga,Pipile,Cracidae,gallery,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\257243846_461423446.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\258706033_464230369.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\260304931_467443288.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\261399819_469602390.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\261399837_469602758.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\283998308_510347131.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\287886968_517668174.jpg,Pipile jacutinga,Pipile,Cracidae,gallery,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\298401802_537499768.jpg,Pipile jacutinga,Pipile,Cracidae,gallery,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\298786157_538234148.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\303364568_546776671.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\303364569_546776692.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\307759808_555143441.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\309278629_558072415.jpg,Pipile jacutinga,Pipile,Cracidae,gallery,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\314081756_567250490.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\315157589_569305719.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
data\fauna_seleccionada_bosque_atlantico\images\Cracidae\Pipile\Pipile_jacutinga\315255894_569491111.jpg,Pipile jacutinga,Pipile,Cracidae,query,6,Crítico
